rank,zone_id,zone_name,latitude,longitude,zone_type,ev_count_estimate,demand_growth_rate,traffic_score,existing_chargers,charger_gap_score,charger_coverage_level,spare_capacity_kw,grid_health_score,grid_capacity_status,avg_risk_score,overloaded_hours_count,infrastructure_need_score,grid_feasibility_score,station_priority_score,grid_feasibility_label,recommended_station_type,recommended_chargers,planning_priority,capital_planning_flag,recommendation_reason
11,Z005,MG Road,12.9756,77.6068,commercial,3921,0.19,92,2,1960.5,Low Coverage,278,13.9,Constrained,85.4,8,0.5236,0.2801,45.05,Low Feasibility,Slow/AC Charging Station,1,Low,Monitor Demand,"MG Road has an EV count estimate of 3921, 19.0% demand growth, 2 existing chargers, low feasibility, and 8 overloaded hours. A Slow/AC Charging Station is recommended to add coverage without stressing the local transformer."
12,Z014,KR Puram,13.0075,77.695,mixed,5067,0.205,87,3,1689.0,Low Coverage,414,19.77,Moderate,75.07,0,0.4152,0.5253,44.82,Moderate Feasibility,Monitor Only,0,Low,Monitor Demand,"KR Puram has an EV count estimate of 5067, 20.5% demand growth, 3 existing chargers, moderate feasibility, and 0 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
13,Z015,Malleshwaram,13.0031,77.5643,residential,5545,0.196,73,2,2772.5,Low Coverage,358,22.15,Moderate,69.82,4,0.4192,0.5155,44.81,High Feasibility,Monitor Only,0,Low,Monitor Demand,"Malleshwaram has an EV count estimate of 5545, 19.6% demand growth, 2 existing chargers, high feasibility, and 4 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
14,Z010,Rajajinagar,12.9915,77.555,mixed,6243,0.188,78,4,1560.75,Low Coverage,248,11.75,Constrained,84.43,6,0.5441,0.2097,44.38,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"Rajajinagar has an EV count estimate of 6243, 18.8% demand growth, 4 existing chargers, low feasibility, and 6 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
15,Z012,Banashankari,12.9255,77.5468,residential,4968,0.225,72,1,4968.0,Low Coverage,178,16.56,Moderate,74.88,6,0.5208,0.2324,43.43,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"Banashankari has an EV count estimate of 4968, 22.5% demand growth, 1 existing chargers, low feasibility, and 6 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
16,Z004,Electronic City,12.8452,77.6602,industrial,3249,0.359,82,2,1624.5,Low Coverage,544,17.18,Moderate,66.95,0,0.3503,0.6037,42.63,Moderate Feasibility,Monitor Only,0,Low,Monitor Demand,"Electronic City has an EV count estimate of 3249, 35.9% demand growth, 2 existing chargers, moderate feasibility, and 0 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
17,Z008,Yelahanka,13.1007,77.5963,residential,5700,0.132,70,7,814.29,Medium Coverage,198,17.93,Moderate,85.58,6,0.4093,0.2781,36.99,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"Yelahanka has an EV count estimate of 5700, 13.2% demand growth, 7 existing chargers, low feasibility, and 6 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
18,Z018,Majestic,12.9767,77.5713,commercial,3666,0.161,96,0,3666.0,No Coverage,177,9.19,Constrained,70.89,0,0.3869,0.0913,29.82,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"Majestic has an EV count estimate of 3666, 16.1% demand growth, 0 existing chargers, low feasibility, and 0 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
19,Z009,BTM Layout,12.9166,77.6101,residential,4896,0.109,80,3,1632.0,Low Coverage,92,8.78,Constrained,79.28,6,0.3907,0.0,27.35,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"BTM Layout has an EV count estimate of 4896, 10.9% demand growth, 3 existing chargers, low feasibility, and 6 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
20,Z017,Peenya,13.0285,77.5197,industrial,2491,0.157,75,10,249.1,Good Coverage,349,11.2,Constrained,80.62,1,0.1562,0.2984,19.89,Low Feasibility,Monitor Only,0,Low,Monitor Demand,"Peenya has an EV count estimate of 2491, 15.7% demand growth, 10 existing chargers, low feasibility, and 1 overloaded hours. The zone is marked for monitoring because current priority or charger gap does not justify immediate infrastructure investment."
